ruwana wichqay	cerrar sesión		2_76365
imakuna allin ruwaq	maestro de operaciones		9219_88069
Iskay kuti willariy wallpama	tipo de datos doble		9221_141157
taqisqa ruwaykuna	procedimiento almacenado		9238_116710
huk rapiman pawanapaq ñawpaq qaway	vista previa de salto de página		9239_145825
niykuna	definiciones		9248_268851
Sutikuna allin reqsey	Comprobar nombres		9255_298014
Utqay qawachiqkuna	Fichas rápidas		9260_321121
kamachikuq qillqa willakuy	documento maestro		9273_144584
sayampa tantiyasqa	columna calculada		9275_237771
CD uyarina allichasqa	CD de audio mejorado		9278_318317
bitspa kallpaynin	velocidad de bits		9284_21852
astay	portar		9295_93713
Kikillan purichiq	Reproducción automática		9299_237015
yupanapaq qelqa	lista numerada		9304_85837
imakuna 	artículo		9305_232851
huch'uy guiyun	guión corto		9320_50525
qichuy ch'iku	signo menos		9320_319135
allichanapaq raphi	hoja de estilos		9324_117057
allichanapaq kanan	área de estilo		9325_232852
haykunan COM	puerto COM		9331_49775
willakuyninkunaq haykunan	puerto de comunicaciones		9331_49776
hatinakuq chaskina	puerto serie		9331_49777
Excel XML Ruwasqaña	Formato XML de Excel		9332_210450
wachuchasqa	tabla		9336_119369
CD yapamanta hapichina	CD regrabable		9344_136605
CD-RW	CD-RW		9344_136606
Microsoft Software Licenciapa kamachiyninkuna	Términos de licencia del software de Microsoft		9355_309006
tinkuy	nodo		9375_85176
imayna willakuy	clase de mensaje		9394_144700
huntasqa qillqakuna qawariy	exploración por pestañas		9396_303757
saqisqan	heredado		9401_74162
kichkichuqaya sananpa	carácter de espaciado		9415_166282
imayna kasqan	textura		9432_209994
Yuyayninpa apaykachay	Uso de memoria		9440_174603
Business Contact Manager	Business Contact Manager		9453_1162837
BCM	BCM		9453_2486897
imayna kanan	formato		9456_321902
willakuykunapa kaman	formato de datos		9456_140050
llapan	entero		9459_67998
qipiy	cargar		9466_3739
allin llankaspa haypay	puntos extra por eficiencia		9468_297006
sumaq ruwaq	carácter especial		9488_115096
ripukuy	migrar		9509_80732
glifo	glifo		9513_58732
ullpuykachachiy	migrar a versión anterior		9517_156998
local yupay	cuenta local		9521_253747
allin sonqoyoq	fidelidad		9534_258951
allin waqaychay	hibernar		9536_61276
Tantiyana kaqkunata	miembro calculado		9543_415057
uchuy qillqa qipakaqkunata willakamuq	notas de la versión		9547_177819
webpi willarina qallariynin	origen de datos sin conexión		9552_266832
sapakamapa kanan	campo personalizado		9555_139836
area akllay	selección de área		9561_179696
Sapsi runasimi llamk'ana pachapi	Common Language Runtime		9570_3951
IKE	IKE		9583_262695
Llikachasqanta yaykunakuna qunakuy	Intercambio de claves por red		9583_262694
uqi qati-qati	Escala de grises		9597_347918
NTLM	NTLM		9610_262690
ruwanalla pampa	campo de recurso		9612_318139
Ch'ipuq ñichiy chanta imayna kaynin Wallpama	forma de puntero Hacer clic y escribir		9651_138544
llikawan chatakuy	cableado		9654_315160
yachachinapaq tabla	tabla de ilustraciones		9674_149113
lluqsiy	salir		9679_334563
Qillqaq maquina	Máquina de escribir		9692_262665
jankuchay	vulneración		9698_2341009
harkasqa pantarka	vulneración de seguridad		9698_230796
Jatun willariy wallpama	tipo de datos Long		9709_144267
KikillanHuntaq	Autocompletar		9718_17587
qata	panel		9726_210054
tecnico ñawpaq qaway	versión preliminar técnica		9733_1981778
datukunaq rurarikamuyninkuna	procesamiento de datos		9734_42848
chayaykunap k'uchun	resultados de campo		9753_141881
lluqiman sikichasqa	alineado a la izquierda 		9767_319131
Uchuy suti	Subtítulo		9805_262641
imakuna rakinakuy	recurso compartido		9820_298002
chaninchay	validación		9831_235026
waqaychana	medios		9836_79134
qallariypa phakmikuypa	partición de arranque		9837_23010
willakuy wakichana	plan de datos		9839_503120
basiq siqin	línea base		9849_20128
OLE DB	OLE DB		9865_145487
OLE DB	OLEDB		9865_2440377
llika	red		9884_84006
uyarinayki rikuchiq	Modo de virtualización de auriculares		9889_262434
Virtualizacionpa kaynin	Modo de virtualización		9889_262435
imayna kaspa ruwasqan	evento del sistema		9891_269336
Ruwanayuq	Ocupado		9900_185600
wichq'aq k'uchu sanampa	comilla angular de cierre		9911_33170
Sasachakuykuna allichay	Solución a problemas		9913_234815
llinpipa kaynin	perfil de color		9930_34655
puririy	transición		9934_149313
ripuqtin ima kasqan	efecto de transición		9934_777481
sayayninpa llank'anan-kallpa	nivel de dimensión		9941_233423
sayaynin	nivel		9941_74380
Allin chaskina	Centro de bienvenida		9944_310262
Qallariy ruwaykuna	Tareas iniciales		9944_759638
umachaynin	encabezado		9946_60749
rapi phawariy	encabezado		9946_234313
Maskay	Buscar		9950_185788
yupay kamachinan	dominio de cuentas		9958_157590
Runapa kuraq pusaykachaq	dominio de cuentas		9958_157591
qawaq	lector		9969_263087
puchuy	sangría		9974_5750
qillqa puchu	sangría		9974_375731
winasqa	objeto alineado		9976_143619
munasqa	favorito		9977_53414
chimpuq	marcador		9977_1087893
multimedia	multimedia		9983_214129
allichanapaq llankana	herramientas de corrección		9991_294445
CCO	CCO		9999_20668
miray pakasqa	copia carbón oculta		9999_20669
CompleterPC allichay	Restauración Complete PC		10004_323599
sutichaq	etiqueta		10006_155781
akllanapaq	menú		10015_79664
qillqana	lápiz		10019_204223
lápiz	lápiz		10019_1990161
Ruraykunapa willakuynin	Informe de actividades		10023_234746
tawa kuchu	fotograma		10039_56540
correo electrónico	correo		10041_321905
correo electrónico	correo		10041_725782
correo electrónico	correo electrónico		10041_50197
yachapay	gesto		10052_58226
tatirichiy	reventado		10069_338533
mana aswan jatunniyuq	sin macros		10086_263114
yaykunapa yanapaq	Asistente para accesibilidad		10094_157455
awapap llimp’in	color del sistema		10100_149094
kut'uy	recortar		10109_123691
kunkap riqsiynin	reconocimiento de voz		10114_115263
rimasqata riksiq	reconocimiento de voz		10114_115262
tinkunay	conectividad		10127_38090
tupachiy	actualizar		10128_100700
qispiy	versión		10153_101934
uyakuy	autorizar		10161_17417
kinranpa pawa	regla horizontal		10179_143328
yakupa chimpuynin	marca de agua		10180_131401
mana yaykuchiy	Cancelar suscripción		10186_126193
yachanapaq qillqakuna	datos		10188_42237
llamkanakunapa kuqmunpa ñupunan	botón de la barra de herramientas		10190_122191
qallariynin pampan	área de origen		10208_413716
rapipa sikin	pie de página		10221_55459
raqipa hayt'an	pie de página		10221_321901
pawaq hayt'an	pie corrido		10221_321899
kapuyninkunapa rapi	hoja de propiedades		10231_147179
kamachikuqpa siqin	línea de comandos		10245_35554
uchuy willakuy	nota		10254_85648
urquy	desinstalar		10261_125604
kamacheqmanta qelqa hananpi kaq harkasqa	Lista de dominios de nivel superior bloqueados		10265_234076
llapanpa llankanan churanakuna	programa de uso compartido de archivos		10273_297181
qawapay hinallataq chayna	análisis de hipótesis		10275_6075
Web Page ñawpaq rikupayanan	Vista previa de la página web		10276_232855
sananpa sasa	carácter compuesto		10286_160186
hawanmanta	sobrecarga		10297_314121
willachimuypa kasqan	área de notificación		10299_85657
imayna-kayninpa pampan	área de estado		10299_85658
tatichiy	suspender		10306_117824
mastarisqa qelqana	escritorio extendido		10311_214146
ruru	producto		10336_209870
waqaychana	celda		10338_29313
qillqa llamkay	procesamiento de texto		10340_134104
ProgID	ProgID		10349_147051
wakichiynin tariq	identificador de programación		10349_147050
sayayninta tikray	cambiar tamaño		10362_103575
qawana	vista		10367_129177
sapanchasqa willakuy	declaración de privacidad		10380_156547
Mana intiwatanayuq kaq	asincrónico		10396_158410
K'iti-k'itiq kutmun	Barra de fracción		10414_270278
llamk'ana qatamanta	panel de entrada de tareas		10421_210482
huch'uychaq ch'iku	signo de menor que		10422_74325
sullk'a sanampa	corchete angular de apertura		10422_318356
willaykuna raphi	hoja de datos		10423_232516
Ñawirikuyninkunamanta Wilakuy	Estadísticas de legibilidad		10436_415517
qawapayaq khipun	gráfico radial		10443_294444
nimusqankupa yupin	plantilla de contenido		10444_139402
sutichana qallariypaq	etiqueta de apertura		10459_116136
Tupachiqpa chawpin kichay	Abrir Centro de sincronización		10482_236960
imayna rikuna	tipo de vista		10486_149827
allinchaq	organizador		10498_168445
uyachayninpa tupariqnin	relación de aspecto		10520_15221
Kutirimusaqña	Vuelvo enseguida		10526_184468
menupa p'uqanan	botón de menú		10531_79731
imayna tinkuy	modo de compatibilidad		10532_36444
llamk’ana raphi	panel de trabajo		10541_168073
askha ruwaqpa churanan	archivo multimedia		10544_79231
jawa siqi willarina	datos del esquema		10560_145705
yaku hawanpi tuytuq uphitu	objeto flotante		10567_232824
llamk'anapaq wara	barra de herramientas incorporada		10572_24731
waqllichiq	virus		10575_3794
ñannin	enrutamiento		10579_106311
WPA2	WPA2		10587_262433
Yaykuna harkasqa Wi-Fi 2	Acceso protegido Wi-Fi 2		10587_262432
GN	GN		10601_321185
sunturmanta AD-HOC llikan	red ad-hoc de grupo		10601_321116
willakuq kuqmu	Barra de información		10608_216556
Wasi Ruwaypaq Programa	Programa para el uso en el hogar		10619_364399
Microsoft Wasi Ruwaypaq Programa	Programa para el uso en el hogar de Microsoft		10619_2793214
waqllaypa ch'akwa	tono de atención		10624_27019
qawapay	ver		10627_129129
Puyu kikin ruwaq	Operador automático en la nube		10637_2754779
kikin ruwaq	operador automático		10637_2754105
apachikuq	remitente		10681_110083
sapanchasqa tupachiynin	configuración de privacidad		10695_464492
qallariq kurchiti	corchete de apertura		10697_2652307
punku wesqana	corchete de apertura		10697_318760
mit'a	fase		10702_557740
Kamaqninpa qawaqnin	Administrador de configuración		10743_211408
Suyupi Id. Tupaqkuna	Id. de configuración regional		10758_211419
LCID	LCID		10758_236640
K'utusqa qhawana	recorte de pantalla		10766_1719269
clúster	clúster		10784_33222
anchuykuy	acercar		10797_321906
asuykaruchay	zoom		10797_135645
mana Unicode nisqa programakunapaq simi	Idioma para programas no Unicode		10799_212211
ruwachiq	agente		10828_245217
llamkanakuna siqi	barra de herramientas		10839_2108
qillqasqapa tawa kuchun apuyasqa	cuadro de texto enriquecido		10841_180035
yachaq unancha qillqaña	fórmula de matriz		10853_14662
khakasqa siqisqa	gráfico incrustado		10864_141438
qelqa	gráfico		10871_30752
chutarikuq qillqa	lista desplegable		10894_225713
amaña qonakuychu	dejar de compartir		10899_234822
yupichaq	sellar		10916_338545
Tukuyninta chimpuy	Marcar como final		10934_237291
yupichay	marcar		10935_54757
mat'isqa allillin	utilidad para compresión		10945_139125
mana chaniyuq	no válido		10947_70460
mana puriq	no válido		10947_320488
Llapan rikuchiq maki	Mano panorámica		10963_306412
paskay	revertir		10964_169207
ruraq chimpun	símbolo de copyright		10974_39994
allichay yanapaq	soporte		10982_117719
patapa qawanman yapay	promover		10994_147111
kinray sananpa	barra diagonal		11001_129347
wiksusqa sanampa	barra diagonal		11001_318713
imayna qelqa kasqanta niy	definición de tipo de documento		11007_47497
Wi-Fi	Wi-Fi		11010_215544
WiFi	WiFi		11010_1834088
correo electronico yupay	cuenta de correo electrónico		11024_2368591
llamkay qallariy	iniciar sesión		11031_112633
tukuy ruwaqpa clipnin	clip multimedia		11038_79197
tukuy ruwaqpa clipnin	clip multimedia		11038_79198
qillqakuy	registrarse		11043_112681
qillqap uman kananaq	tipo título		11046_121964
yachanapaq haykuna	entrada de índice		11052_143510
Llikachasqapa tupaynimpa chawpin	Centro de conexiones de red		11057_235073
willaqkunapa kasqan	tabla de datos		11058_140256
laqay	pegar		11068_91030
rimata willakusqan	mensajería de voz		11077_130473
sutichay	etiquetar		11083_315142
lluqimanta pañaman	de izquierda a derecha		11100_74147
hatun tupanachinap qillqasqa rikuchiynin	texto visualizado de hipervínculo		11105_143405
hukuchaq wutunin	botón del mouse		11107_81754
ñitina	botón		11107_323645
manaraq ruwaspa qaway	vista previa de impresión		11135_146792
willaypa ukhun	cuerpo del mensaje		11141_79960
Siq'iy Ruwaykuna Officepaq	Servicios de firmas para Office		11146_210474
aswan llimp'ikuna	color adicional		11149_232519
aswan allinllan dominiopa sutin	nombre de dominio completo		11157_56424
FQDN	FQDN		11157_56423
imayna llankanapaq ruway	diseño		11163_73706
imayna llankanapaq ruway	diseño		11167_73681
pantalla tinkuchiq	adaptador de pantalla		11186_59134
video tarjeta	tarjeta de video		11186_59131
qawapasqapa atikuynin	banco de pruebas		11201_235266
karumanta yaykuna	acceso remoto		11208_102176
kikillanmanta willakuna	mensajería instantánea		11216_564516
MI	mensajería instantánea		11216_564517
Internet nisqaman tupachiy	conexión a Internet		11218_184819
Web nisqaman tupachiy	conexión web		11218_236993
ISNS	iSNS		11223_335605
Sutikuna Internetpi taqenapaq yanapakuy	Servicio de nombres de almacenamiento de Internet		11223_335602
Unancha qillqamanta llimphip ruwachiq	Paleta de fórmulas		11225_231967
Unancha qillqamanta Ruwachiq	Generador de fórmulas		11225_477232
tawla imakunata ruwanapaq	panel de tablas		11229_231980
PivotTablep willakuqninkuna	datos de tabla dinámica		11232_231971
mana imprimina sanampa	carácter no imprimible		11241_85464
oqi niraqkuna	escala de grises		11245_59333
pukakanchariy	infrarrojos		11249_66343
riqsisqa runa	usuario registrado		11251_209886
Windows Harkay Firewall	Firewall de Windows Defender		11268_2461481
 hukpa sutinwan churasqa webpa kanan(phishing).	sitio web de suplantación de identidad (phishing)		11269_235059
Kipu Maskana	Explorador de archivos		11280_1707188
Windows Maskanan	Explorador de Windows		11280_133179
kamas rimay	palabra clave		11290_73108
hinana 	punto de inserción		11291_27974
sapakama reqsenapaq	símbolo de inserción		11291_27975
llankana wasi hawapi	Fuera de la oficina		11303_232405
ukhunpa llinpin	color de fondo		11304_18811
chullachinakuypa ñupunan	botón de alternancia		11305_149234
tikrana chuyanachiy	conmutador de alternancia		11305_2766794
sapakuti	periódico		11310_232414
tupachiy hukmanyachiq	modificador de configuración		11311_297189
khipukunaq haywariyninpa tawlan	tabla de asignación de archivos		11314_53259
FAT	FAT		11314_53258
chaskiqkunapaq qelqa	lista de destinatarios seguros		11318_232416
yachana llankananmanta harkay	Prevención de ejecución de datos		11319_168226
DEP	DEP		11319_168227
caractir basi	carácter base		11322_19990
siqichay	alineación		11351_10952
pantay reqsenapaq	código de error		11358_318141
ruwasqaña imayna kaynin	forma predeterminada		11362_232517
atikuynin	rendimiento		11363_359696
Tapuykunap qhawanan	ventana Consulta		11371_96469
haykuna qhawakpa listan	lista de control de acceso		11372_7174
yuyachiykuna raphi	página de notas		11374_232527
ñitina	tecla		11387_72523
pukuchu	globo		11398_232818
rimanaku willay	comentarios al margen		11398_322594
qallariy	iniciar		11402_73609
rawkanasqa qullqa	Almacén digital		11407_323605
jawa siqi yupaychasqa yupaynin	lista numerada de esquema		11410_232844
maytuna	sobre		11412_319442
simisapakuna huñunasqa	grupo de discusión		11419_232949
willakuykuna huñunasqa	grupo de noticias		11419_2977
llankaqkunapa rantin	representación del lado cliente		11423_316310
CSR	CSR		11423_316313
hatun rakiq	capítulo		11438_136538
Hatun qelqamanta qatapi willakuy	Panel de información del documento		11440_237286
uchuy llankaq	instrucción		11446_7798
rurayninkunapa kamachiynin	instrucción de acción		11446_7797
harkasqa imayna ruwana	protocolo de seguridad		11462_214891
waqaychana	carpeta		11470_55264
WordArt	WordArt		11471_134185
Qallariy	Página principal		11472_211374
kwirppa qillqa	texto de cuerpo		11479_137930
qillqasqapa tawak'uchun	cuadro de texto		11493_120895
yaykuna kampupi qillqa	área de introducción de texto		11493_2864260
taripay	descifrar		11502_44023
tinkisqa huñunakuy	Reunión en línea		11506_2588086
hatun qelqawan ruway	uso de mayúsculas		11515_27557
Allichakuy	organización		11518_232393
DVD nisqan allin k'anchariynin	DVD de alta definición		11543_318345
HD DVD	HD DVD		11543_318318
HD nisqan peliculan	película de alta definición		11543_346954
HD	HD		11543_2175644
Windows musuq tupachiy	Windows Connect Now		11564_235069
yaykuchiy	suscribir		11567_216558
Ñawpaq qawanakuna	Vista clásica		11627_268849
waqaychanapa Id.	Id. de seguridad		11629_109242
waqaychana tarina	identificador de seguridad		11629_109244
SID	SID		11629_109243
taqmay	desapilar		11633_234823
mailto ñisqa	mailto		11642_370842
camara	cámara		11655_27151
web camara	cámara web		11672_27099
IRP	IRP		11699_63276
haykunan/lluksinan manta mañakuypa t'iqin	paquete de petición de entrada/salida		11699_63275
Willariynin Ruwachiqpata	Generador de referencias		11707_237298
ODBC qhawaq	controlador ODBC		11709_86813
Excel tupaqnin	complemento de Excel		11727_231965
Interfaz aska ruwaq ancha munay llankaq	Interfaz multimedia de alta definición		11734_258953
Aswan allin llapan ruwaqpa Interfaz	Interfaz multimedia de alta definición		11734_298004
HDMI	HDMI		11734_258956
tupaqmasi	contacto		11744_38453
kaqlla qillqariq qawapayaq	controlador de impresora		11757_146879
winasqa	objeto incrustado		11758_153847
Windows Harkay Antivirus	Antivirus de Windows Defender		11765_2461445
jallich’ana qillqamanta muyusqaña	archivo de texto delimitado		11767_140546
IME	IME		11777_64765
Venn-pa	diagrama de Venn		11782_149770
alliqmanta ichuqman	de derecha a izquierda		11795_147980
RTL	RTL		11795_661874
tupachiykuna qelqa	lista de actualización		11797_149448
sayaypa siqin	línea de regla		11798_2085540
wañusqa kipukuna chinkachiy	Eliminación de archivos de hibernación		11799_234773
sistemamanta willakuy	información del sistema		11800_118815
kaqniyuq	propietario/a		11803_89506
qillqap umanpa yachachiq	patrón de títulos		11805_121970
Ethernet nisqa	Ethernet		11810_210490
Unicode 	Unicode		11820_125350
unuyasqa qispiq pantallan	pantalla de cristal líquido		11821_77658
LCD	LCD		11821_77656
3-D rimaq	referencia 3D		11832_231956
Esc ñitina	tecla Esc		11872_51841
sapallampaq	privacidad		11873_94938
tarinakuy kasqanmanta willakuy	Información de dirección compartida		11893_299914
aska tupachiykuna	conjunto de configuración		11900_211444
Muyuriqniypi equipukuna	Equipos a mi alrededor		11902_262727
tikraq	convertidor		11914_39698
ch'ullachasqa ch'antiynin	instalación personalizada		11926_41721
apachikpa ch'antiyninin	instalación personalizada		11926_317517
kanchaynin	brillo		11936_23875
Ima Kayta Ñawpaq Rikuchiq	Controlador de vista previa de datos adjuntos		11940_298006
federación	federación		11961_180264
yaykunapa	infracción de acceso		11973_157418
Electronico chaskip apaykachaq jatun p'anqa	carpeta de correo electrónico administrada		11983_381857
SQL	SQL		11985_115735
Kusa rurasqa tapukuypa qallun	Lenguaje de consulta estructurado		11985_115736
furigana	furigana		11997_214868
tarinapaq qelqakuna	Libreta de direcciones		11999_233421
Windowspa reqsinakusqankuna	Contactos de Windows		11999_347906
sayampaman siqiy	alineación vertical		12000_128178
WINAY ñupuna	tecla Insertar		12004_67530
ima hina chaninchanapaq	método de autenticación		12018_17045
siqi	línea		12032_74843
Electronicupi reqsechikunapaq tarjeta	Tarjeta de presentación electrónica		12039_183955
reqsichikunapaq tarjeta	Tarjeta de presentación		12039_274668
seqempi imakuna	línea de serie		12040_294405
Qapariykunapa allichaynin yanapaq	Asistente para calibrar altavoces		12055_235062
qunakuy	transacción		12069_150202
clúster qarakuq	clúster de servidores		12094_110926
huñusqa qarakuqkuna	granja de servidores		12094_110927
puchuy	aplicar sangría		12106_65506
willariypa k'isllaynin	datos de detalle		12108_140776
ukhu tantay	combinación interna		12125_67181
SmartArt	SmartArt		12133_460782
tawa umachasqa wach'i	flecha de cuatro puntas		12141_56316
Yanapakuykunapa Imankuna	Servicios de componentes		12163_35001
waqaychay	registro		12171_151583
rikchayninmanta yupaynin ñiqi	estilo de tabla		12173_252122
kutikutimanta-rurakuy	iteración		12174_71139
Outlook Maypillapis	Outlook en cualquier lugar		12180_237293
códec	códec		12192_33928
ukhun módem	módem interno		12197_68819
kamachisqa	delegado		12208_234524
Sapa punchaw llankana qelqa	Lista de tareas diarias		12216_237378
PivotChart qatipaqkuna k'uchu	campo de serie de gráfico dinámico		12222_146338
waqta siqi	barra lateral		12237_112548
Office imayna kasqan qaway	Diagnósticos de Office		12244_264783
patan	margen		12253_78289
raphipa patan	margen de página		12253_322621
Mana munasqata jallich’aq	Especial		12254_232850
pisi kuyuq 	promedio móvil		12274_144850
willana	notificación		12283_503140
uchuy qawachiq	miniatura		12284_121514
clúster tinkuy	nodo de clúster		12300_1374072
simipirwap rakpaynin	diccionario de exclusiones		12304_232821
allichakuna	organización		12310_182655
patan	marco		12313_56589
waqaychakuna	permisos		12338_315148
llankaqkunapa waqaychakunanku	permisos del usuario		12338_126816
apaykachana dispositivo	dispositivo móvil		12345_81161
apaykachana	dispositivo móvil		12345_2419401
caché nisqapi waqaychaynin	almacenamiento en caché		12349_26421
imankunapas	componente		12359_235413
thaskisqa rimaynin	discusión encadenada		12363_121418
llamkay qallariy willakuykuna	información de inicio de sesión		12369_1977874
llamkay qallariy willakuykuna	información de inicio de sesión		12369_1981671
chiqaqchaykuna	credenciales		12369_606
qelqa chuyanchay	ajuste de texto		12381_121120
llinpikunaq canpun	espacio de colores		12382_34696
Yupachasqa willaqpa kamaynin	Estándar de cifrado de datos		12387_262437
DES	DES		12387_262438
PivotTable jatun tukuyninkuna	totales generales de tabla dinámica		12395_231972
Rikurisqahina	modo panorámico		12405_184041
kunan qillqa allichay	Ortografía contextual		12419_237283
Ñawarisqahina chimpuy	marcar como leído		12434_231840
llapinapa umachaqnen	cabezal de digitalización		12439_316643
WebDAV	WebDAV		12442_234826
World Wide Web Rak'isqa Kamachiynin chanta Ujinan ima	Sistema distribuido de creación y control de versiones web (WebDAV)		12442_690956
unanchay hinallataq imayna kasqan patachay Webpi (WebDAVpi) rakinasqa	Sistema distribuido de creación y control de versiones web (WebDAV)		12442_155338
qawashaqtin llankay	sesión en vivo		12450_316662
llankay yanapakuypaq	sesión de colaboración		12450_2581652
willaykuna huñusqa	datos adjuntos		12457_16067
imakuna munachiy	promoción de propiedades		12459_184074
hatun niraq	forma superior		12483_149056
Rimariypa tawak'uchu aqllaq	Selector de cuadro de diálogo		12486_317885
laqanapa panqakuna	papel tapiz		12505_131084
FTP	FTP		12520_1297
Imayna apachikuy churana	protocolo de transferencia de archivos		12520_1296
hunta rimaykuna	paquete de idioma		12524_73352
WSD	WSD		12530_262705
WinSock manpuni	WinSock directo		12530_262704
Wiñarinapaq qepe XML	paquete de expansión XML		12531_232862
qawakuna	televisión		12539_346969
qawakuna	televisión		12539_346970
willariynin	foco		12540_55239
llaqta masilla	grupo local		12544_76022
simi taqi sapanchasqa	diccionario personalizado		12548_139813
Takyasqa willakuykuna	Referencias estructuradas		12551_237304
ñiqichana	categoría		12556_568110
tupachiypi pantasqa	error de sincronización		12557_269335
WLL	WLL		12562_232860
Sepia niraq	Tono sepia		12571_306405
Windows tupachinapaq	programa de instalación de Windows		12607_170582
yupaychasqakunawan harkachisqa	delimitado por tabulaciones		12626_119220
yupaypa pantan	valor de error		12633_51824
wisk'asqa	Apagar		12634_298003
ima hina mausepa toqpinankuna 	método abreviado del mouse		12659_81864
Rikchaynin	estilo		12676_252120
yanapakuypa sutin	nombre del servidor		12678_415521
suysu	filtrar		12685_233028
Windows kawsarichiq llankaqkuna	Cliente de activación de Windows		12690_310997
aqllana churana	menú Archivo		12708_179577
Windows Metakipun Imayna kanan	formato WMF		12753_133562
vidiu rawkanasqa ruyrun	disco de video digital		12755_45847
DVD	DVD		12755_45848
Siq'ikunapa Akllay	Selección de lazo		12762_2439785
datukunaq qhali-kaynin	integridad de datos		12774_42573
llipinkaqnin	integridad		12774_320489
taripusqa	descifrado		12800_692
hap'iy	capturar		12827_27727
hanparapa ukunpi rikchay	papel tapiz		12830_1990157
ukun	fondo		12830_18691
hanparapa ukun	fondo de escritorio		12830_725793
amp'araq pallaynin	diseño de escritorio		12830_18692
sutichay	etiquetar		12838_73230
uyariy	escuchar		12871_316306
kutichiy harkay	dejar de responder		12872_1790611
Rukanawan tuqik	Puntero táctil		12874_276553
HTML	HTML		12884_1939
Hatun qelqa yupichanapaq simi	Lenguaje de marcado de hipertexto		12884_1940
apachiqkunapa listan harkasqa	Lista de remitentes bloqueados		12905_232396
sapa punchaw yaykuna	entrada de diaro		12943_234576
ruwasqaña imayna kaynin llamk'ana p'anqa plantilla ñisqamanta	plantilla de libro predeterminado		12953_231961
rimaykuna rakiq	separador de palabras		12954_134044
kawsarichiy	activar		12958_1060966
uyarina mirachinapaq willakuy	cabezal de reproducción		13006_309435
ayllupa qawaynin	control de padres		13016_346958
uyarichiqkuna	auriculares con micrófono		13028_334517
kamachisqa qillqasqa raphi	texto maestro		13038_232525
huñullapi qelqa	letra de unidad		13047_48461
ima kasqan reqsinapaq yupi	código de carácter		13049_30329
listapa qawaqnin	control de lista		13054_144059
chuya rikukuq	transparencia		13056_262545
ujinaman tukuchiqpa rikuchiynin	marcador de cambios		13067_138300
mit'ana intiwatana	calendario alternativo		13073_232392
Yaykunapaq rimay	frase de contraseña		13076_269325
kutipachiy	replicación		13089_102926
sutichasqa qelqa	nota etiquetada		13121_359689
tupachiy	valor		13142_111591
haykunapaq ñan	ruta de acceso		13147_91099
siqichay pañaman	alinear a la derecha		13151_318116
Wiñariq	Elástico		13166_262640
kuq raphiman pawana	salto de página		13173_89953
llapan URL tarichiynin	URL absoluta		13177_6456
IMAP	IMAP		13180_268863
Internet willakuyman imayna haykuna	Protocolo de acceso a mensajes de Internet		13180_268854
rimanakuypa kaynin	recurso de conferencia		13181_232398
PAN	PAN		13210_262700
Kikillan kasqaspaq llika	Red de área personal		13210_262699
yaykunaman mañakuynin	permisos de acceso		13219_315150
mañakuynin	permisos		13219_3051
siqi siminya	expresión lineal		13220_210458
 llankay tukuq	usuario final		13221_50960
waqyana	cita		13224_138502
yanapaq	colaborador		13228_263086
seqechasqa	interlineado		13233_75157
ñawpaqpi	interlineado		13233_372513
winayninkuna akllay	clasificación de contenido		13239_318323
Paqarimuqkuna qawaq	Administrador de orígenes		13246_264638
sananpa llapanmanta	carácter genérico		13265_257449
sananpa maymanpas	carácter genérico		13265_132802
sananpa maymampas	carácter comodín		13265_132803
Yupay	Cuenta		13270_386705
Huñu	paquete		13284_232490
intranet	intranet		13293_2428
tupaqmasi	contacto		13304_185645
sananpa chaqrusqa	carácter no espaciado		13311_319181
sananpa kichkichasqa	carácter no espaciado		13311_164575
achka rimaykuna	grupo de idiomas		13324_212903
kinranpa siqi	fila		13325_106410
mana allin yupi	malware		13340_156803
software mana allin sunquyuq	software malintencionado		13340_268866
eikchayninkuna quq	editor de propiedades		13363_184068
wichqay	cerrar		13370_33049
seqechanapa yupin	símbolo del esquema		13372_413712
huchuy kasqan	subsitio		13374_359204
qollanan tarina	clave principal		13405_94512
yanqa rimaykuna	lenguaje inflamatorio		13408_299899
chutarikuy	extensión		13435_361197
tullpu	entrada de lápiz		13455_203850
ink rawkanasqa	entrada de lápiz digital		13455_276548
kipuchay	archivar		13474_14239
uchuy willakuqpa chimpun	marca de comentario		13497_138974
Apaykachana	Móvil		13502_211382
MCDI	MCDI		13515_262447
MPEG-7	MPEG-7		13515_262445
Aska winayniyuq qelqapa interfasnin	Interfaz de descripción de contenido multimedia		13515_262446
tapukuna yupiy	signo de interrogación		13528_96502
correo electronicopa maypi kasqan	dirección de correo electrónico		13537_1509694
tarichiynin	dirección		13537_1018
Imayna rurana	regla		13550_216565
suysu	filtro		13550_216566
imakuna patachana kasqan	área de control del sistema		13551_311012
musuqmanta apachiy	reenviar		13564_56172
purichiy	reproductor		13569_92850
Internet Explorer	Internet Explorer		13579_299920
qipiy	empaquetar		13587_25017
butunpa uyan	cara de botón		13592_25636
waqay suyay	llamada en espera		13598_26923
llinpikunaq lliwkllikiynin	gama de colores		13604_34469
Active Directory nisqa kamachinanpa yanapakuyninkuna	Servicios de dominio de Active Directory		13638_312148
AD DS	AD DS		13638_323467
Yaku niraq llinpi	Acuarela		13647_306409
tinkuynin	enlace		13654_21449
riqsinapaq	identificación		13666_326288
ID	id.		13666_326289
troyamanta horquna	descargador troyano		13678_2037682
