Jesucristo aillu quillca, Davidmanda mirai, David Abrahanmanda mirai.	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham	b.MAT.1.1
Ahua pachas cai pachas chingarinaungami; randi ñuca rimashca shimi mana imahoras chingaringachu.	El cielo y la tierra pasarán, pero mis palabras no pasarán	b.MAR.13.31
Imasna caru partima rij runasna, paihua huasira saquica sirvijguna maquii, caran runama paihua quiquin tarabanara rimasha, pungüi cuirajta rimaca chapachu nisha.	Será como el hombre que al salir de viaje dejó su casa y dio autoridad a sus siervos, a cada uno su obra, y al portero mandó que velase	b.MAR.13.34
manashaga pai cungaimanda shamusha cangunara puñuriaita tupangami.	no sea que cuando vuelva de repente os halle durmiendo	b.MAR.13.36
Paiguna ninauca: Ista punzhaiga ama apinauchu, runauna ama nusparinauchu.	pues decían: "No en la fiesta, de modo que no se haga alboroto en el pueblo.	b.MAR.14.2
Jesús Betania llactai tiaushcai, shu Simón nishca llagayuj runa huasii, mesai tiarijpiga shu huarmi ashca valij gusto asnaj ambira apamuca valij rumi purui	Estando él en Betania sentado a la mesa en casa de Simón el leproso, vino una mujer que tenía un frasco de alabastro con perfume de nardo puro de gran precio	b.MAR.14.3
Huarmi punirá paquisha Jesuspa umai, ambira talicami.	Y quebrando el frasco de alabastro, lo derramó sobre la cabeza de Jesús	b.MAR.14.3
Caiga catuna usharicami, quinsa patsac yali cullquihua, tsuntsuunama cungaj	Porque podría haberse vendido este perfume por más de trescientos denarios y haberse dado a los pobres	b.MAR.14.5
Huarmira piñanauca.	Y murmuraban contra ella	b.MAR.14.5
Cierto pacha cangunara nini: Maibis cai evangelio shimi rimarijpi, tucui cai pachai, cai huarmi rashcara cuentashca angami paita iyarichingaj.	De cierto os digo que dondequiera que sea predicado este evangelio en todo el mundo, también lo que ésta ha hecho será contado para memoria de ella	b.MAR.14.9
Shinajpi Judas Iscariote nishca, Jesuspa chunga ishquiunamanda shuj, sacerdote apuunama ricami, Jesusta paiguna maquii entregangaj.	Entonces Judas Iscariote, uno de los doce, fue a los principales sacerdotes para entregárselo	b.MAR.14.10
Ñaupa punda puscu illaj tanda micuna punzhaunai, Pascua ista sacrificio rana horaspi, Jesús yachachishca runauna paita rimanauca: ¿Maibi Pascua istara micunara muñanguichu alichingaj? nisha.	El primer día de la fiesta de los panes sin levadura, cuando sacrificaban el cordero de la Pascua, sus discípulos le dijeron:  ¿Dónde quieres que vayamos y hagamos los preparativos para que comas la Pascua	b.MAR.14.12
Maibi icujpiga huasiyuj runara tapunguichi: Ñucanchira yachachij nin, ¿maibira micuna ucu, ñuca yachachishca runaunandi Pascua istara micungaj?	y donde entre, decid al dueño de casa: "El Maestro dice: '¿Dónde está mi habitación donde he de comer la Pascua con mis discípulos?'	b.MAR.14.14
Pai shu ahua patai atun micuna ucura ricuchinga ña alichishcara	Y él os mostrará un gran aposento alto ya dispuesto y preparado	b.MAR.14.15
Chihui ñucanchijta puruntuichi.	Preparad allí para nosotros	b.MAR.14.15
Ña tutayaupi paihua chunga ishqui runaunandi shamuca.	Al atardecer fue con los doce	b.MAR.14.17
Shinarasha mesai tiarishcai, paiguna micushca ratollai, Jesús nica: Cierto pacha cangunamanda shu ñucahua micuj ñucara entregangaraunmi.	y cuando estaban sentados a la mesa comiendo, Jesús dijo:  De cierto os digo que uno de vosotros, el que come conmigo, me va a entregar	b.MAR.14.18
Jesús cutipasha rimaca: Canguna chunga ishquimanda shuj ñucahua pacta pulatoi tan rajmi, paimi anga.	Él les dijo:  Es uno de los doce, el que moja el pan conmigo en el plato	b.MAR.14.20
Cierto pacha cangunara nini: Uvillas muyu yacura mana cuti upishachu Dios mandana pachai mushujta upina punzhagama.	De cierto os digo que no beberé más del fruto de la vid, hasta aquel día cuando lo beba nuevo en el reino de Dios	b.MAR.14.25
Paigunaga cantanara cantashca huasha, llucshisha Olivos nishca urcuma rinauca.	Y después de cantar un himno, salieron al monte de los Olivos	b.MAR.14.26
Causarishca huashaga ñuca cangunamanda ñaupa Galilea partima risha.	Pero después de haber resucitado, iré delante de vosotros a Galilea	b.MAR.14.28
Shinajpi Pedro cutipaca: Tucui pingarinaupis, ñucaga mana.	Entonces Pedro le dijo:  Aunque todos sean escandalizados, yo no	b.MAR.14.29
Jesús cutipaca: Cierto pacha canda nini, Can, cuna, cuna tutai, gallo manara ishqui cuti cantajllaira, ñucamanda quinsa cuti ninguimi: Paita mana ricsinichu.	Jesús le dijo:  De cierto te digo que hoy, en esta noche, antes que el gallo haya cantado dos veces, tú me negarás tres veces	b.MAR.14.30
Pedroga shinzhi rimasha nica: Canhua huañuna ministirijpi canmanda mana nishachu, Paita mana ricsinichu	Pero él decía con mayor insistencia:  Aunque me sea necesario morir contigo, jamás te negaré	b.MAR.14.31
Tucui chi shujgunas shinallara ninauca.	También todos decían lo mismo	b.MAR.14.31
Jesús paigunara rimaca: Ñuca alma huañunalla llaquirinmi	Y les dijo:  Mi alma está muy triste, hasta la muerte	b.MAR.14.34
Shuyaichi caibi, chapaichi.	Quedaos aquí y velad	b.MAR.14.34
Chapaichi, mañaichi ama tentaciombi icungaj	Velad y orad, para que no entréis en tentación	b.MAR.14.38
Cierto pacha alma munanmi, astaun aicha sambayashcami, nica.	El espíritu a la verdad está dispuesto, pero la carne es débil	b.MAR.14.38
Jesús tigramusha, cutillara paigunara puñuriaita tupaca, paiguna puñunaihua singusha	Cuando volvió otra vez, los halló durmiendo, porque sus ojos estaban cargados de sueño	b.MAR.14.40
Imara cutipanara mana yachanaucachu.	Y no sabían qué responderle	b.MAR.14.40
Jesusta entregaj runa paigunara rimaca: Maicanda ñuca muchajpi paimi anga	El que le entregaba les había dado señal diciendo: "Al que yo bese, ése es	b.MAR.14.44
Paita apinguichi, ali cuirasha pushanguichi.	Prendedle y llevadle con seguridad.	b.MAR.14.44
Shinarasha paiguna Jesusta apinauca.	Entonces ellos le echaron mano y le prendieron	b.MAR.14.46
Chihui ajgunamanda shuj paihua esparara llucchisha, sacerdote atun apura sirvijta rinri carara pitica.	pero uno de los que estaban allí, sacando su espada, hirió al siervo del sumo sacerdote y le cortó la oreja	b.MAR.14.47
Jesús nica: ¿Shuhuajta cuenta ñucara apingaj llucshimucanguichi esparaunahua caspiunahua?	Jesús respondió y les dijo:  ¿Como contra un asaltante habéis salido con espadas y palos para prenderme	b.MAR.14.48
Shinajpi tucui Jesús yachachishca runauna paita saquisha miticunauca.	Entonces todos los suyos le abandonaron y huyeron	b.MAR.14.50
Paiga llachapara saquisha llatan miticuca.	Pero él, dejando la sábana, huyó desnudo	b.MAR.14.52
Shinajpi shujguna atarimusha Jesusta causayachisha yanga llullasha rimanauca.	Entonces se levantaron unos, y dieron falso testimonio contra él diciendo	b.MAR.14.57
Pai rimashcara uyashcanchimi ninauca: Cai maquihua rashca templo huasira tulashami, nisha; randiga quinsa punzhai shujta mana maquihua rashcara sicachishami.	Nosotros le oímos decir: "Yo derribaré este templo que ha sido hecho con manos, y en tres días edificaré otro hecho sin manos.	b.MAR.14.58
Shina ajllaira paiguna shimiuna mana chi tonollachu aca.	Pero ni aun así concordaba el testimonio de ellos	b.MAR.14.59
Shinajpi sacerdote atun apu paiguna chaupi shungüi atarisha Jesusta tapucami, nisha: ¿Mana imaras cutipangui? ¿Imara nisha canda causayachisha rimanaun?	Entonces el sumo sacerdote se levantó en medio y preguntó a Jesús diciendo:  ¿No respondes nada? ¿Qué testifican éstos contra ti	b.MAR.14.60
Jesusga chunlla saquirica, mana imaras cutipaca	Pero él callaba y no respondió nada	b.MAR.14.61
Sacerdote atun apu cuti tapuca: Canga, ¿Cristochu angui? nisha, ¿Bendiciashca Diospa Churichu angui?	Otra vez el sumo sacerdote le preguntó y le dijo:  ¿Eres tú el Cristo, el Hijo del Bendito	b.MAR.14.61
Jesús cutipasha nica: Ñuca maní; ñuca, Runa Churi nishca, ushaj Diospa ali maquima tiarishcara ricunguichimi	Jesús le dijo:  Yo soy	b.MAR.14.62
Huashaga ahua pacha puyui shamujta ricunguichimi.	Y además, veréis al Hijo del Hombre sentado a la diestra del Poder y viniendo con las nubes del cielo	b.MAR.14.62
Shinajpi sacerdote atun apu paihua churanara lliquisha rimaca: ¿Imara mas ministishun rimajgunara?	Entonces el sumo sacerdote rasgó su vestidura y dijo:  ¿Qué más necesidad tenemos de testigos	b.MAR.14.63
Pai irus rimashcara uyashcanguichi	Vosotros habéis oído la blasfemia	b.MAR.14.64
¿Imara ninguichi? Paiguna tucui: Huañuchinami, ninauca.	¿Qué os parece? Y todos ellos le condenaron como reo de muerte	b.MAR.14.64
Pedroga allpai, huasi chaupi shungüi tiaj patioi tiaushcai, shu sacerdoteuna atun apura sirvij huarmi shamuca.	Estando Pedro abajo en el patio, vino una de las criadas del sumo sacerdote	b.MAR.14.66
Pedrora ninai cunusha tiauta ricusha, huarmi paita nica: Cambas Nazaretmanda Jesushua pariju tiaucangui.	Cuando vio a Pedro calentándose, se fijó en él y le dijo:  Tú también estabas con Jesús de Nazaret	b.MAR.14.67
Chi sirvij huarmi Pedrora cuti ricusha, chihui tiajgunara rimai callarica: Cai runa chi montonmandami, nisha.	Cuando la criada le vio, comenzó otra vez a decir a los que estaban allí:  Éste es uno de ellos	b.MAR.14.69
Shinajpi Pedro manali shimiunara rimangaj callarica, Diospa shutii rimasha: Canguna rimaushca runara mana ansas ricsinichu, nica.	Pero él comenzó a maldecir y a jurar:  ¡No conozco a este hombre de quien habláis	b.MAR.14.71
Sacerdote apuuna Jesusta ashcara causayachinauca.	Los principales sacerdotes le acusaban de muchas cosas	b.MAR.15.3
Astaumbas ista punzhai shu causayuj runara cacharij aca, maicandas paiguna mañashcara.	En la fiesta Pilato solía soltarles un preso, el que pidiesen	b.MAR.15.6
Runauna shamushaga mañai callarinauca caran huata rashcasna rashca achu, nisha.	La multitud se levantó y comenzó a pedir que les hiciese como acostumbraba	b.MAR.15.8
Pilato cutipasha nica: ¿Munanguichi ñuca judioguna Rey Apura cacharingaj?	Entonces Pilato les respondió diciendo:  ¿Queréis que yo os suelte al rey de los judíos	b.MAR.15.9
Pilato ricsicami sacerdote apuuna Jesusta chijnishcamanda entreganauca.	Porque sabía que por envidia le habían entregado los principales sacerdotes	b.MAR.15.10
Astaumbas sacerdote apuuna tucui runaunara rimanauca Barrabasta cacharingaj.	Pero los principales sacerdotes incitaron a la multitud para que les soltase más bien a Barrabás	b.MAR.15.11
Pilato cutipasha cutillara nica: ¿Imara ranara munanguichi judioguna Rey Apu nishcara?	De nuevo intervino Pilato y les decía:  ¿Qué, pues, queréis que haga con el que llamáis "el rey de los judíos"	b.MAR.15.12
Paiguna cutillara caparinauca: Chacatai, nisha.	De nuevo gritaron:  ¡Crucifícale	b.MAR.15.13
Pilatoga rimaca: ¿Ima manalira rashcachu? Paigunaga maspas caparinauca: Chacatai, nisha.	Entonces Pilato les dijo:  ¿Pues, qué mal ha hecho? Pero lanzaron gritos aun más fuertes:  ¡Crucifícale	b.MAR.15.14
Paita salurasha cuenta: Cushiyai, judioguna Rey Apu, asisha ninauca.	y comenzaron a aclamarle:  ¡Viva, rey de los judíos	b.MAR.15.18
Jesusta chacatashca huasha, paihua churanara paigunapura chaupinauca, maicanda lichayuj asha apanauchu.	Y le crucificaron, y repartieron sus vestiduras, echando suertes sobre ellas para ver qué se llevaría cada uno	b.MAR.15.24
Ahualla punzha, las nueve tupui, Jesusta chacatanauca.	Era la hora tercera cuando le crucificaron	b.MAR.15.25
Paihua causa quillcai quillcashca tiaca: Judioguna Rey Apu.	El título de su acusación estaba escrito: EL REY DE LOS JUDÍOS	b.MAR.15.26
Paihua pariju ishqui shuhuajgunara chacatanauca, shuj ali maquima, chishuj lluqui maquima.	Y con él crucificaron a dos ladrones, uno a su derecha y otro a su izquierda	b.MAR.15.27
Pasajguna Jesusta camisha, umara cuyuchisha rimanauca: Aa, nisha, canmi Diospa huasira tulaj, quinsa punzhai shayachij,	Y los que pasaban le insultaban, meneando sus cabezas y diciendo:  ¡Ah! Tú que derribas el templo y lo edificas en tres días	b.MAR.15.29
canllara quishpi, cruzmanda irgüi.	¡sálvate a ti mismo y desciende de la cruz	b.MAR.15.30
Sacerdote apuuna yachaira yachachijgunandi shinallara asisha rimananauca: Shujgunara quishpichicami, nisha, randi pai quiquinllara mana ushanzhu quishpinara.	De igual manera, burlándose de él entre ellos mismos, los principales sacerdotes junto con los escribas decían:  A otros salvó; a sí mismo no se puede salvar	b.MAR.15.31
Ka doce horasmanda pacha chaupi punzhai tun llanduyamuca las tres tupugama.	Cuando llegó la hora sexta, descendió oscuridad sobre toda la tierra, hasta la hora novena	b.MAR.15.33
Huaquin chihui ajguna uyasha, Ricupaichi, ninauca, Elíasta cayaun.	Al oírle, algunos de los que estaban allí decían:  He aquí, llama a Elías	b.MAR.15.35
Jesusga shinzhi shimihua caparisha pitirica.	Pero Jesús, dando un fuerte grito, expiró	b.MAR.15.37
Chi ratoi Diospa huasii huarcushca llachapa ahuamanda allpama pasajta lliquiricami.	Y el velo del templo se rasgó en dos, de arriba abajo	b.MAR.15.38
Paihua rayai shayarij capitán, Jesús huañusha capariuta ricusha: Caiga cierto pacha Diospa churirni, nica.	El centurión que estaba de pie delante de él, cuando vio que había muerto de esta manera, dijo:  ¡Verdaderamente este hombre era Hijo de Dios	b.MAR.15.39
Carumanda huaquin huarmiuna ricurianauca	También estaban allí algunas mujeres, mirando desde lejos	b.MAR.15.40
Chigunahua tianauca María Magdalena, quipa Jacobohua Josehua mama María, Salomendi.	Entre ellas se encontraban María Magdalena, María la madre de Jacobo el Menor y de José, y Salomé	b.MAR.15.40
Chigunaga Jesús Galilea partii ashcai, paita catisha sirvinaucami	Cuando Jesús estaba en Galilea, éstas le seguían y le servían	b.MAR.15.41
Shinallara paígunandi shujguna Jesushua Jerusalenma sicamujguna tianauca.	También había muchas otras que habían subido con él a Jerusalén	b.MAR.15.41
Tutayaupi, Puruntuna nishca punzha asha, samana punzha tucunai alichina horas aca.	Cuando ya atardecía, siendo el día de la Preparación, es decir, la víspera del sábado	b.MAR.15.42
Arimatea llactamanda José, valij gobiernoi mandaj runa, paihuas Diospa gobierno pachara chapau, mana ansas manzhasha Pilatoma rica huañushca Jesús aichara mañangaj.	llegó José de Arimatea, miembro ilustre del concilio, quien también esperaba el reino de Dios, y entró osadamente a Pilato y le pidió el cuerpo de Jesús	b.MAR.15.43
Capitán rimashcara uyasha, huañushca Jesús aichara Josema cuca.	Una vez informado por el centurión, concedió el cuerpo a José	b.MAR.15.45
María Magdalena, María Josehua mamandi, Jesusta chingachishcara ricunauca.	María Magdalena y María la madre de José miraban dónde le ponían	b.MAR.15.47
Samana punzha pasashca huasha, María Magdalena, Jacobo mama María, Salomendi gusto asnaj ambiunara randinauca Jesusta armachi ringaj.	Cuando pasó el sábado, María Magdalena, María madre de Jacobo, y Salomé compraron especias aromáticas para ir a ungirle	b.MAR.16.1
Semana ñaupa punzhai, tutamanda indi llucshimushcai, Jesusta pambashcama shamunauca.	Muy de mañana, el primer día de la semana, fueron al sepulcro apenas salido el sol	b.MAR.16.2
Paigunapura ninauca: ¿Rumira uctu pungumanda pita voltiachisha cuhuangái?	y decían una a otra:  ¿Quién nos removerá la piedra de la entrada del sepulcro	b.MAR.16.3
Paigunaga Jesús causarishcaras, chi huarmi ricushcaras uyasha, mana quirinaucachu.	Pero cuando ellos oyeron que estaba vivo y que había sido visto por ella, no lo creyeron	b.MAR.16.11
Chi huasha, ishquiunama Jesús shu tonoi ricurica paiguna shu partima puriushcai.	Después apareció en otra forma a dos de ellos que iban caminando hacia el campo	b.MAR.16.12
Jesús paigunara nica: Richi entero mundura, evangelio ali shimira tucui runaunama camachichi.	Y les dijo: "Id por todo el mundo y predicad el evangelio a toda criatura	b.MAR.16.15
Maicans quirisha bautisarishas quishpichishca anga, maicans mana quirishaga causayachishca anga.	El que cree y es bautizado será salvo; pero el que no cree será condenado	b.MAR.16.16
Quirijgunahua munanaita ricurinauna pactarinaunga: Ñuca shutii supaigunara pajllama ichunaungami, shinallara mushuj shimiunara rimanaungami;	Estas señales seguirán a los que creen: En mi nombre echarán fuera demonios, hablarán nuevas lenguas	b.MAR.16.17
Ashca runauna ñucanchihua cierto tucushcaunara ali catimpuralla cuentangaj camanaushca,	Puesto que muchos han intentado poner en orden un relato acerca de las cosas que han sido ciertísimas entre nosotros	b.LUK.1.1
imasna ñucanchira yachachinauca callan horasmanda ñahuihua ricujguna, paiguna shimira camachijguna asha.	así como nos las transmitieron los que desde el principio fueron testigos oculares y ministros de la palabra	b.LUK.1.2
Ñucamas shinallara alimi yachica, ali tapushca huasha canda tucuira callarinamanda catimpuralla quillcangaj, yapa ali Teófilo,	me ha parecido bien también a mí, después de haberlo investigado todo con diligencia desde el comienzo, escribírtelas en orden, oh excelentísimo Teófilo	b.LUK.1.3
canda yachachishca shimiuna ciertomi ashcara can ali yachangaj.	para que conozcas bien la verdad de las cosas en las cuales has sido instruido	b.LUK.1.4
Herodes Judea rey apu ashcai, shu Zacarías nishca sacerdote tiauca, Diospa huasii sirvij, Abías montonmanda	En los días de Herodes, rey de Judea, había un sacerdote llamado Zacarías, de la clase de Abías	b.LUK.1.5
Paihua huarmi Aaromba ushushiunamanda aca, paihua shuti Elisabet.	Su esposa era de las hijas de Aarón y se llamaba Elisabet	b.LUK.1.5
Ishquindi ali causajguna anauca Diospa ñaupajpi, causa illaj, tucui Dios mandashca shimiunai camachishcaunais purinauca.	Ambos eran justos delante de Dios y vivían irreprensiblemente en todos los mandamientos y ordenanzas del Señor	b.LUK.1.6
Zacarías pai sacerdote ranaunara rausha Diospa ñaupajpi, paihua monton rana horas ashcai,	Aconteció que, cuando Zacarías ejercía el sacerdocio delante de Dios, en el turno de su clase	b.LUK.1.8
Sacerdote rana yachaira, incienso nishca mishqui asnaj ambira rupachica, Diospa huasii icusha.	conforme a la costumbre del sacerdocio, le tocó por sorteo entrar en el templo del Señor para quemar el incienso	b.LUK.1.9
Tucui taucarimuj runauna canzhai chapanauca, Diosta mañausha, inciensora rupachina horaspi.	Toda la multitud del pueblo estaba fuera, orando a la hora del incienso	b.LUK.1.10
Paihuajpi shu Señorbaj ángel ricurimuca, altar nishca incienso rupana mesa ali maquipurahua shayarisha.	Entonces el ángel del Señor se le apareció, puesto de pie a la derecha del altar del incienso	b.LUK.1.11
Zacarías paita ricusha ashcara manzharica.	Zacarías se turbó cuando le vio, y el temor se apoderó de él	b.LUK.1.12
Ashca Israelba churiunara tigrachinga paiguna Señor Diosma.	Y hará que muchos de los hijos de Israel vuelvan al Señor su Dios	b.LUK.1.16
Diospa ñaupajpi Eliaspa espirituhua paihua ushanahuas puringami, yayauna shunguunara churiunama tigrachingaj, mana uyajguna ali iyaiyujguna ranama, shu monton alichishca runaunara Señorbajta puruntungaj.	Él mismo irá delante del Señor con el espíritu y el poder de Elías, para hacer volver los corazones de los padres a los hijos y los desobedientes a la prudencia de los justos, para preparar al Señor un pueblo apercibido	b.LUK.1.17
Zacarías angelda nica: ¿Imasnara caita yachashachu? Ñuca rucu ani, ñuca huarmis shinallara rucuyaunmi.	Y Zacarías dijo al ángel:  ¿Cómo podré estar seguro de esto? Pues yo soy viejo, y mi esposa es de edad avanzada	b.LUK.1.18
Runaunaga Zacaríasta chapanauca, ¿ima tucun, nisha, pai Diospa huasii unaiyajpi?	El pueblo estaba esperando a Zacarías, y se extrañaba de que él pasara tanto tiempo en el templo	b.LUK.1.21
Pai sirvina punzhauna tucurijpi, huasima rica.	Sucedió que, cuando se cumplieron los días de este ministerio, él se fue a su casa	b.LUK.1.23
Chi punzhauna pasashca huasha, paihua huarmi Elisabet huahuara tupaca, pichca quilla tupura huasillai tiaca.	Y después de aquellos días su mujer Elisabet concibió y se recluyó por cinco meses, diciendo	b.LUK.1.24
Casnami Señor ñucahua rashca, nica, ñuca pingarishcara cuna quichusha nica runauna ñaupajmanda.	Así ha hecho conmigo el Señor en los días en que se dignó mirarme para quitar mi afrenta entre los hombres	b.LUK.1.25
Socta quillai, Dios Gabriel nishca angelda cachaca Galileai tiaj Nazaret nishca llactama.	En el sexto mes, el ángel Gabriel fue enviado por Dios a una ciudad de Galilea llamada Nazaret	b.LUK.1.26
Shinajpi ángel huarmira nica: María ama manzhaichu, nisha, gracia nishca cushira tupashcangui Diospa ñaupajpi.	Entonces el ángel le dijo:  ¡No temas, María! Porque has hallado gracia ante Dios	b.LUK.1.30
Jacobpa aillu ahuai rey apu tucunga huiñai huiñaigama, pai mandana imahorasgamas mana tucuringachu.	Reinará sobre la casa de Jacob para siempre, y de su reino no habrá fin	b.LUK.1.33
Shinajpi María angelda nica: ¿Ima rashara shina tucungairi? Carira mana charinichu.	Entonces María dijo al ángel:  ¿Cómo será esto? Porque yo no conozco varón	b.LUK.1.34
Dioshua mana imas mana raihuajchu, astaun paihua tucui raihuajmi.	Porque ninguna cosa será imposible para Dios	b.LUK.1.37
Chi punzhaunai, María atarisha urcu partima uctalla rica, shu Judá partii tiaj llactama.	En esos días se levantó María y fue de prisa a una ciudad en la región montañosa de Judá	b.LUK.1.39
Zacaríaspa huasima icusha, Elisabetda saluraca.	Entró en casa de Zacarías y saludó a Elisabet	b.LUK.1.40
Elisabetga, María salurashcara uyajpi, huahua saltaca paihua icsai	Aconteció que, cuando Elisabet oyó la salutación de María, la criatura saltó en su vientre	b.LUK.1.41
Elisabet Santo Espirituhua undashca aca.	Y Elisabet fue llena del Espíritu Santo	b.LUK.1.41
Shinzhira rimasha nica: Bendiciashcangui can huarmiunamanda, bendiciashcami camba icsai tiaj huahuara.	y exclamó a gran voz y dijo:  ¡Bendita tú entre las mujeres, y bendito el fruto de tu vientre	b.LUK.1.42
¿Imarasha ñucama cushca aca, ñuca Señorba mama ñucama shamungaj?	¿De dónde se me concede esto, que la madre de mi Señor venga a mí	b.LUK.1.43
Ñuca rinri can salurashca shimira uyasha, huahua cushiyasha ñuca icsai saltaca.	Porque he aquí, cuando llegó a mis oídos la voz de tu salutación, la criatura saltó de alegría en mi vientre	b.LUK.1.44
Shinajpi María nica: Ñuca alma Señorda ahuayachin.	Y María dijo:  Engrandece mi alma al Señor	b.LUK.1.46
Ñuca espíritu ñucara Quishpichij Diospi cushiyan.	y mi espíritu se alegra en Dios, mi Salvador	b.LUK.1.47
Paita sirvij huarmi pogri ashcara ricushcami	porque ha mirado la bajeza de su sierva	b.LUK.1.48
Shinajpi cunamanda tucui miraiguna ñucara cushiyashcami ninaunga.	He aquí, pues, desde ahora me tendrán por bienaventurada todas las generaciones	b.LUK.1.48
Tucuira ushaj Dios atun ranaunara ñucahua rashcami	porque el Poderoso ha hecho grandes cosas conmigo	b.LUK.1.49
Chicanyachishcami paihua shuti.	Su nombre es santo	b.LUK.1.49
Pai llaquinaga tucui miraigunagama duranmi, tucui paita manzhajgunama.	y su misericordia es de generación en generación, para con los que le temen	b.LUK.1.50
Atun ranaunara rarca paihua rigrahua, shinzhi shunguyujgunara chausica paiguna shungüi iyarishcaraigumanda.	Hizo proezas con su brazo; esparció a los soberbios en el pensamiento de sus corazones	b.LUK.1.51
Dios paita sirvij Israelda yanapacami, pai llaquij shungura charisha.	Ayudó a Israel su siervo, para acordarse de la misericordia	b.LUK.1.54
Caimanda ñucanchi yayaunahua rimaca, Abrahamhuas paihua miraigunahuas huiñai huiñaigama rimaca.	tal como habló a nuestros padres; a Abraham y a su descendencia para siempre	b.LUK.1.55
Elisabet pagarichina horas pactarijpi, shu churira pagarichica.	Se cumplió para Elisabet el tiempo de su alumbramiento, y dio a luz un hijo	b.LUK.1.57
Mayanpura causajguna ailluunas Dios paita ashcara bendiciashcara uyasha, paihua cushiyanauca.	Los vecinos y los parientes oyeron que Dios había engrandecido su misericordia hacia ella y se regocijaron con ella	b.LUK.1.58
Astaun paihua mama cutipaca: Mana, nisha, paihua shuti Juanmi.	Y su madre respondiendo dijo:  ¡No! Más bien será llamado Juan	b.LUK.1.60
Paita ninauca: ¿Imaraigu, nisha, casna shutiyuj illan camba aillui?	Y le dijeron:  No hay nadie en tu familia que se llame con este nombre	b.LUK.1.61
Shinajpi yayara maquihua ricuchisha tapunauca: ¿Camba huahua ima shutira churasha ningui?	Preguntaban por señas a su padre, cómo quería llamarle	b.LUK.1.62
Chi ratollai paihua shimi pascarica, paihua huatashca callu llushpirica, pai Diosta alabasha rimaca.	Al instante su boca fue abierta, y se le soltó la lengua, y comenzó a hablar bendiciendo a Dios	b.LUK.1.64
Paihua yaya Zacarías Santo Espirituhua undashca asha, Diosmanda rimaj cuenta rimaca, nisha:	Zacarías, su padre, fue lleno del Espíritu Santo y profetizó diciendo	b.LUK.1.67
imasna rimaca paihua callarimanda aj ali rimajguna shimimanda.	tal como habló por boca de sus santos profetas que fueron desde antiguo	b.LUK.1.70
Ñucanchira chijnijgunamanda quishpichina, shinallara tucui ñucanchira chijnijguna maquimandas;	Salvación de nuestros enemigos y de la mano de todos los que nos aborrecen	b.LUK.1.71
ñucanchi yayaunahua alira rangaj, pai chuyaj pactachina shimira iyaringaj.	para hacer misericordia con nuestros padres y para acordarse de su santo pacto	b.LUK.1.72
Ñucanchi yaya Abrahanma paihua shutii cushca shimira iyarisha, ñucanchimas cuna aca,	Éste es el juramento que juró a Abraham nuestro padre, para concedernos que	b.LUK.1.73
imasna ñucanchi, chijnijgunamanda llushpichishca asha, mana manzhasha, paita sirvinchi maca,	una vez rescatados de las manos de los enemigos, le sirvamos sin temor	b.LUK.1.74
chuya shunguhua ali shunguhuas paita sirvingaj paihua ñaupajpi, tucui ñucanchi causana punzhaunagama.	en santidad y en justicia delante de él todos nuestros días	b.LUK.1.75
Canga, ñuca huahua, Ahuai tiaj Diosmanda nishca angui, Señorbaj ñaupajpi purina angui paihua ñambiunara alichingaj,	Y tú, niño, serás llamado profeta del Altísimo; porque irás delante del Señor para preparar sus caminos	b.LUK.1.76
paihua runaunara quishpichina shimira yachachingaj, paiguna ucharashcaunara perdonai tucungaj,	para dar a su pueblo conocimiento de salvación en el perdón de sus pecados	b.LUK.1.77
ñucanchi Dios shunguhua llaquishcamanda, mushuj punzha ahuamanda ñucanchira punzhayachin,	a causa de la entrañable misericordia de nuestro Dios, con que la luz de la aurora nos visitará de lo alto	b.LUK.1.78
llandu tutais huañuna llanduis causajgunara punzhayachingaj, ganaslla causana nambira ñucanchi chaquiunara pushangaj.	para alumbrar a los que habitan en tinieblas y en sombra de muerte; para encaminar nuestros pies por caminos de paz	b.LUK.1.79
Chi punzhaunai, Augusto César nishca atun apu shu mandashca shimira cuca tucui runauna shutiunara gobierno quillcai churachingaj.	Aconteció en aquellos días que salió un edicto de parte de César Augusto, para levantar un censo de todo el mundo habitado	b.LUK.2.1
Cai ñaupa shutira yupana Cirenio nishca Siria llactai gobernador ashcai rashca aca.	Este primer censo se realizó mientras Cirenio era gobernador de Siria	b.LUK.2.2
Tucui runa paihua quiquin llactama rica shutira quillcachingaj.	Todos iban para inscribirse en el censo, cada uno a su ciudad	b.LUK.2.3
José Galileamanda, Nazaret llactamanda sicaca, Belén nishca Davidpa llactama, pai Davidpa aülumanda miraj ajpi.	Entonces José también subió desde Galilea, de la ciudad de Nazaret, a Judea, a la ciudad de David que se llama Belén, porque él era de la casa y de la familia de David	b.LUK.2.4
Paiguna chihui tiaushcai, huahua pagarina horas pactaríca.	Aconteció que, mientras ellos estaban allí, se cumplieron los días de su alumbramiento	b.LUK.2.6
Chi quiquin partii, borrego cuirajguna tianauca, paiguna borregounara ricunauca, cuiranauca tutai.	Había pastores en aquella región, que velaban y guardaban las vigilias de la noche sobre su rebaño	b.LUK.2.8
