PERÚ SUYU HATUN KAMAY PIRWA	CONSTITUCIÓN POLÍTICA DEL PERÚ
4 Umall	Capítulo 4
Llaqta kamachiypi llank’ay kamayoq	De la función pública
Llaqta kamachiypi kamayoq hinaspa kikin llank’aqkuna llank’ayninkumanta	Funcionarios y trabajadores públicos
39 Phatmi	Artículo 39
Llapan llaqta kamachiypi kamayoq kamachiqkuna hinaspa kikin llank’aqkuna llank’ayninkumanta kanku	Todos los funcionarios y trabajadores públicos están al servicio de la Nación
Suyu Umalliqmi aswan suyu umalliqnin hinaspa llaqtapaqmi llank’aynin chay ñeqepin kanku, Rimana Wasipi apullikuna, Hach’awanqokuna, Hatun Kamay Pirwa yupanchay wasipi llank’aqkuna hinaspa Paqtachay Kamayoqkuna	El Presidente de la República tiene la más alta jerarquía en el servicio a la Nación y, en ese orden, los representantes al Congreso, ministros de Estado, miembros del Tribunal Constitucional y del Consejo de la Magistratura, los magistrados supremos, el Fiscal de la Nación y el Defensor del Pueblo, en igual categoría
Hanaq Paqtay Kamayuqkuna, Kuraq Llaqta Añachaqen, Llaqtaq Amachaqen, chaymantapas huch’uy llaqta kamayoqkunata, warayoqkuna, kamachiman hina	y los representantes de organismos descentralizados y alcaldes, de acuerdo a ley
Suyupi llank’aqninkuna hayk’a runa kayninmanta	Carrera Administrativa
40 Phatmi	Artículo 40
Suyupi llank’aqninkuna hayk’a runa kayninmanta t’ufsikun, hayk’atan llaqtapaq llank’aqkunata chaskikunman, imakunan hunt’anan, hinallataq ima kamachikunan kanman chaytapas	La ley regula el ingreso a la carrera administrativa, y los derechos, deberes y responsabilidades de los servidores públicos
Mana khaynapiqa rikusqa kankuchu hatun kamayoq munasqanman hina kamayoq churasqakunaqa	No están comprendidos en dicha carrera los funcionarios que desempeñan cargos políticos o de confianza
Manan mayqen kamayoq nitaq llaqta kamachiypi llank’aqkunaqa iskay utaq aswan llank’aypi llank’anmanchu chaymanta qolqeta chaskispa, ichaqa yachachispa yachay wasipi atintaqmi	Ningún funcionario o servidor público puede desempeñar más de un empleo o cargo público remunerado, con excepción de uno más por función docente
Llaqtapaq llank’aqkuna manan kikin llaqtapaq iskay llank’aymanta musiyta chaskinkumanchu, ichaqa llaqtaq yachay wasipi yachachiyta atinmami, chaymanta musiyta chaskinkumanmi	No están comprendidos en la función pública los trabajadores de las empresas del Estado o de sociedades de economía mixta
Kamayoqkuna, qelqa willakuypi hayk’a musiy chaskinankuta llaqtapaq yachachinan, hinaspa hokaq llank’aqkunapas willakunakunankun ichaqa kamachina hina	Es obligatoria la publicación periódica en el diario oficial de los ingresos que, por todo concepto, perciben los altos funcionarios, y otros servidores públicos que señala la ley, en razón de sus cargos
Llaqtaq kamayoq utaq Suyuq qolqen apaqninkuna lliu masiy rayku qolqemanta hinaspa kayninkunamanta yachakunanpaq willay	Declaración Jurada de bienes y rentas
41 Phatmi	Artículo 41
Llaqtaq kamayoq utaq Suyuq qolqen apaqninkuna lliu masiy rayku qolqemanta hinaspa kayninkunamanta yachakunanpaq willakuyta qelqapi churananku llank’ay qallariyninkupi hinaspapas lloqsiyninkupipas	Los funcionarios y servidores públicos que señala la ley o que administran o manejan fondos del Estado o de organismos sostenidos por éste deben hacer declaración jurada de bienes y rentas al tomar posesión de sus cargos, durante su ejercicio y al cesar en los mismos
Hinaspa chay willakuyqa mast’arikunan suyuqpa qelqa willakuypi	La respectiva publicación se realiza en el diario oficial en la forma y condiciones que señala la ley
Sichus mana allin qhapayayninta rikukunman cheyqa, Hatun Llaqta Paqtachaymi hoqpa willakusqan rayku utaq kikin rayku paqtay kallpa wasimaq qelqapi willanan huchallisqa kananpaq	Cuando se presume enriquecimiento ilícito, el Fiscal de la Nación, por denuncia de terceros o de oficio, formula cargos ante el Poder Judicial
Kamachiymi churan kamayoqkunaq hinaspa llank’aqkunaq hunt’ayninta, hinaspa hayk’a wata kama llank’ayninkuta	La ley establece la responsabilidad de los funcionarios y servidores públicos, así como el plazo de su inhabilitación para la función pública
Llank’aqkunan Suyuq kaynin suwakusqan rayku hucha qolluyninpaqqa duplica nisqa iskay kuti kausaypin	El plazo de prescripción se duplica en caso de delitos cometidos contra el patrimonio del Estado
Llank’aqkunaq allaukan sindicalización nisqa hinaspa llank’ay saqeymanta allaukakuna	Derechos de sindicación y huelga de los servidores públicos
42 Phatmi	Artículo 42
Reqsikunmi llank’aqkunaq allaukan sindicalización nisqa hinaspa llank’ay saqeyman	Se reconocen los derechos de sindicación y huelga de los servidores públicos
Mana kankuchu Suyupi kamachiq kamayoqkuna chaymantapas manallataq atinkuchu wayqechakuypi llank’aqkunapas, manallataq atinkuchu auqanakunayoq hinaspa t’uyru kamayoq kallpankunapas	No están comprendidos los funcionarios del Estado con poder de decisión y los que desempeñan cargos de confianza o de dirección, así como los miembros de las Fuerzas Armadas y de la Policía Nacional
2 HATUN T’AQA	TITULO 2
SUYUMANTA HINASPA LLAQTAMANTA	DEL ESTADO Y LA NACIÓN
Suyumanta, Llaqtamanta hinaspa panpanmanta	Del Estado, la Nación y el territorio
Llaqta munayninmanta allaukayoq	Estado democrático de derecho
Imayna kamachipi kamachiy	Forma de Gobierno
43 Phatmi	Artículo 43
Perú suyu llaqtaqa República democrática nisqa runa kausaynin, mana pimanta muchuq, kikinmanta munayniyoq, llank’aypi teqsekuq	La República del Perú es democrática, social, independiente y soberana
Suyuqa ch’ulla manan t’asqaqa kanamanchu	El Estado es uno e indivisible
Ch’ullallan kamachikuqnin, llaqtaq rantin sayaq, sapanka kuraq kallpayoq kamayoqkuna t’aqapi yupanchaspa	Su gobierno es unitario, representativo y descentralizado, y se organiza según el principio de la separación de poderes
Llaqtaq Hunt’ayninkuna	Deberes del Estado
44 Phatmi	Artículo 44
Suyuq ruwayninkunaqa	Son deberes primordiales del Estado
kikin suyu kausaynin amachay	defender la soberanía nacional
runakunaq allaukanta rantinkay	garantizar la plena vigencia de los derechos humanos
teqsimuyuntinpi runakunaq allaukakuna hunt’achiy, llaqtaman allinkay qoy	proteger a la población de las amenazas contra su seguridad
llaqta runaq allin kausaypaq llank’ay ichaqa suyuq kallpachasqa wiñayninpi	y promover el bienestar general que se fundamenta en la justicia y en el desarrollo integral y equilibrado de la Nación
Chaymantapas, suyuq ruwayninmi hokaq hawa suyukunawan allin kausaynin, astawanqa Tawantinsuyo llaqtakunawan, ichaqa hawa llaqtakunapaq kamachiyman hina	Asimismo, es deber del Estado establecer y ejecutar la política de fronteras y promover la integración, particularmente latinoamericana, así como el desarrollo y la cohesión de las zonas fronterizas, en concordancia con la política exterior
Llaqta Kamachiyninpi Kamachiy	Ejercicio del poder del Estado
45 Phatmi	Artículo 45
Kamachikuypaq kallpa paqarin llaqtamanta	El poder del Estado emana del pueblo
Pichus llaqta kamachikuqpas, llaqtaq rantintan kamachikun, ichaqa Hatun Kamay Pirwaman apusimiqpas intukusqan ukhupipuni	Quienes lo ejercen lo hacen con las limitaciones y responsabilidades que la Constitución y las leyes establecen
Manan kikillanmantaqa pi runapas, sayaqekunapas wallakunapas, utaq mayqen huch’uy ayllupas huñusqa runakunapas atinchu suyu kamachiytaqa	Ninguna persona, organización, Fuerza Armada, Policía Nacional o sector de la población puede arrogarse el ejercicio de ese poder
Ruwayninqa ankallikuymi utaq runa sarariy	Hacerlo constituye rebelión o sedición
Qechuq Kakachiq	Gobierno usurpador
Ankallikuypaq allaukayoq	Derecho de insurgencia
Nadie debe obediencia a un gobierno usurpador, ni a quienes asumen funciones públicas en violación de la Constitución y de las leyes	Artículo 46
Manan pipas kasunanchu qechuq suyu kamachiqtaqa, nanataqmi kamayoq kananchu Hatun Kamay Pirwa p’akiqpas	46 Phatmi
Suyupi tiyaq runakunaq allaukanmi Hatun Kamay Pirwa tuyruchayta amachakuspa ankallikuyninqa	La población civil tiene el derecho de insurgencia en defensa del orden constitucional
Qollun lliu mana ima cheqan kamachikuyqa ima ruwasqanpas	Son nulos los actos de quienes usurpan funciones públicas
Llaqta P’itwiy Amachaqeypi	Defensa Judicial del Estado
47 Phatmi	Artículo 47
Llaqta p’itwiy kamayoqpa ruwayninpin amacheqeyninqa	La defensa de los intereses del Estado está a cargo de los Procuradores Públicos conforme a ley
Suyuqa paqtachay ruwananpaqqa qolqeta payllananchu	El Estado está exonerado del pago de gastos judiciales
Llaqtaq Rimayninkuna	Idiomas oficiales
48 Phatmi	Artículo 48
Suyuq oficiales nisqa rimayninkunanan castellano hinaspa sichus hoq llaqtakunapi rimayninman hina rimakunanmi Runasimita hinaspa aymara simita, ichaqa hokaq llaqtanchispa siminkunapas llaqtakunapi rimakunanmi, kamachiman hina	Son idiomas oficiales el castellano y, en las zonas donde predominen, también lo son el quechua, el aimara y las demás lenguas aborígenes, según la ley
Peru Suyuq Aswan Hatun Llaqta hinaspa Llaqtanchispa Tuyrunkuna	Capital de la República del Perú y símbolos de la Patria
49 Phatmi	Artículo 49
Lima llaqtan Perú suyuq capital nisqa umalliq	La capital de la República del Perú es la ciudad de Lima
Qosqo llaqtataqmi qhepa kausay willakuy umalliq	Su capital histórica es la ciudad del Cusco
Suyunchispa unanchayninkunan, kinsa sayanpayoq laphara, hoq sayanpanman puka, hoq yuraq, hoq puka paukarniyoq hinallatqmi qerarapas, yupaychana takipas, kamachiman hina	Son símbolos de la Patria la bandera de tres franjas verticales con los colores rojo, blanco y rojo, y el escudo y el himno nacional establecidos por ley
Llaqta, Iglesia católica hinaspa hokaq yuyaykuna	Estado, Iglesia católica y otras confesiones
50 Phatmi	Artículo 50
Kikinmanta munay kamayoq ukhupi, manan mayqenpas mayqenmanta muchuna ukhupi, suyuqa reqsikun Iglesia Católica nisqata, allin kausayninpi, yachay tarpuyninpi, allin kausay tikakuna qoyninpi, chaymi Perú suyu yanapayninta mañan	Dentro de un régimen de independencia y autonomía, el Estado reconoce a la Iglesia Católica como elemento importante en la formación histórica, cultural y moral del Perú, y le presta su colaboración
Suyu hoq neray runaq yuyaykuyninta yupanchan hinaspa yanapakuypi kausaypaqpas ayninakuytaqa kamachikunmanmi	El Estado respeta otras confesiones y puede establecer formas de colaboración con ellas
Hatun Kamay Pirwa aswan Hawa Hatun Chaniyoq	Supremacía de la Constitución
51 Phatmi	Artículo 51
Hatun Kamay Pirwa ima kamachikuymanpas aswan hawa hatun chaniyoq, kamachin chayman qatin hokaq kuraqmanta sullk’a kamachiykuna kama	La Constitución prevalece sobre toda norma legal, la ley, sobre las normas de inferior jerarquía, y así sucesivamente
Willakuyta mast’arina suyuntinpi kamachiyninkuna hunt’akunanpaq, kasusqa kananpaq	La publicidad es esencial para la vigencia de toda norma del Estado
Suyuq kaymanta	Nacionalidad
52 Phatmi	Artículo 52
Peruanos nisqaqa kikin suyuq panpanpi runa paqarimusqan raykun	Son peruanos por nacimiento los nacidos en el territorio de la República
Hinallataqmi hawa llaqtakunapi paqariqkuna sichus tayta utaq maman peruanos nisqa kaqtinku, ichaqa qelqa pirwapi qelqasqa erqe kaqtinku	También lo son los nacidos en el exterior de padre o madre peruanos, inscritos en el registro correspondiente durante su minoría de edad
Chaymantapas peruanos nisqa hina runakuna hawa llaqtakunamanta sutichakuyta munanukuman cheyqa naturalización nisqatan ruwanaku, ichaqa tiyanakupuni Perú suyupi	Son asimismo peruanos los que adquieren la nacionalidad por naturalización o por opción, siempre que tengan residencia en el Perú
Chaymantapas peruanos nisqa hina runakuna hawa llaqtakunamanta sutichakuyta munanukuman cheyqa naturalización nisqatan ruwanaku, ichaqa tiyanakupuni Perú suyupi	Son asimismo peruanos los que adquieren la nacionalidad por naturalización o por opción, siempre que tengan residencia en el Perú
53 Phatmi	Artículo 53
Kamachiymi allchan Perú suyumanta runaq kananpaq utaq hoqmanta chinkachisqata tarinanpaqpas	La ley regula las formas en que se adquiere o recupera la nacionalidad
Manan Perú suyu kaytaqa chinkachikunchu, Ichataqmi manaña munanmanñachu cheyqa kamayoqmanmi qelqapi mañanan	La nacionalidad peruana no se pierde, salvo por renuncia expresa ante autoridad peruana
Suyuq Allpanqa, Munasqanman kausay hinaspa maymanta maykama kamachiynin	Territorio, soberanía y jurisdicción
54 Phatmi	Artículo 54
Suyuq Allpanqa manan ima sarunchaymi hinaspa hawa llaqtaqa manan hinallamanta haykuyta atinmantaqchu	El territorio del Estado es inalienable e inviolable
Hinapin suyuq kaqnin, allpan, ukhu pachan, hanaq pachan, muyuriqninpi hatun qochan, hinaspa llapan espacio aéreo nisqa pachan p’istuq	Comprende el suelo, el subsuelo, el dominio marítimo, y el espacio aéreo que los cubre
Suyuq hatun qochanqa kikin pata qochan, hinapipas chay lecho nisqa hinaspa suyunchis ukhuqa mana ayuycha pacha panpan iskay pachaq millas nisqa chayninman hina, ichaqa atinmi hatun qocha ukhunta hawa suyukunaman puriyta qelqaman hina suyunchis nunayninman hina	El dominio marítimo del Estado comprende el mar adyacente a sus costas, así como su lecho y subsuelo, hasta la distancia de doscientas millas marinas medidas desde las líneas de base que establece la ley
Suyunchismi mamaqochanpi kamachikuyninqa, allpan muyuriq qochanman, ununtinman, suyunchispa munayninqa kallpanqa mast’arikun hawa llaqtakunaman kamachiman hina hinaspa kamachikuna qelqasqan raykupas	En su dominio marítimo, el Estado ejerce soberanía y jurisdicción, sin perjuicio de las libertades de comunicación internacional, de acuerdo con la ley y con los tratados ratificados por el Estado
Suyuq munanyninpas kallpanpas mast’arikun hanaq pachanchisman, suyunchis muyuriq hatun qochaman, iskay pachaq millas nisqa ukhukama, apusimiq kamachiyman hina, hinallataq hoq suyu llaqtakunawan kamachinankusqanchisman hina	El Estado ejerce soberanía y jurisdicción sobre el espacio aéreo que cubre su territorio y el mar adyacente hasta el límite de las doscientas millas, sin perjuicio de las libertades de comunicación internacional, de conformidad con la ley y con los tratados ratificados por el Estado
2 Umalli	Capítulo 2
Rimanakuspa Qelqa Kamachikuna	Tratados
55 Phatmi	Artículo 55
Hoq hawa llaqtakunawan suyu kamachinakuyninkunaqa ruwasqaqa suyu allankankunamanmi haykupun	Los tratados celebrados por el Estado y en vigor forman parte del derecho nacional
Rimanakuy qelqa kamachikuna sut’incha	Aprobación de tratados
56 Phatmi	Artículo 56
Ñaupaqtaqa lliu hoq hawa llaqtakunawan kamachiynakuykunaqa Rimana Wasipi Apullikunan huñinachinan, chaytan Perú Suyu Kamachiq sut’inchanan, ichaqa kaykunamanta kaqtillan	Los tratados deben ser aprobados por el Congreso antes de su ratificación por el Presidente de la República, siempre que versen sobre las siguientes materias
Runakunaq allaukanmanta	Derechos Humanos
Suyu atiyniyuq kananmanta utaq k’apaq suyu kallpanmant	Soberanía, dominio o integridad del Estado
Suyu amachaymanta	Defensa Nacional
Suyuq kausayninpaq qolqe kayninmanta utaq manukuyninmanta	Obligaciones financieras del Estado
Hinallataqmi Rimana Wasin kamayta, hoq neray kayninta utaq qolqe churay qolluchiyta hawa llaqtawan kamachiynakuykunata hinaspapas osqay ruwaqninkunatapas sut’inchanan	También deben ser aprobados por el Congreso los tratados que crean, modifican o suprimen tributos, los que exigen modificación o derogación de alguna ley y los que requieren medidas legislativas para su ejecución
Suyu Umalliq Rimanakuy Qelqa Kamachikuna ruwayninmanta	Tratados Ejecutivos
57 Phatmi	Artículo 57
Perú Suyu Umaniqllanmi atin payllana qelqa qelqanakunata qelqayta, hinallataq ima hoq suyukunawanpas ruwaytapas kamachiykuna sut’inchaytapas hinaspa chaskiyta mana kay kamachiypi churasqa kaqta manan Rimana Wasiman tapuspa, chaymantañan willanan Rimana Wasiman	El Presidente de la República puede celebrar o ratificar tratados o adherir a éstos sin el requisito de la aprobación previa del Congreso en materias no contempladas en el artículo precedente, en todos esos casos, debe dar cuenta al Congreso
Sichus rimanakuypi kamachi qelqakuna ruwakunman mana Hatun Kamay Pirwaman hina, kikin imana Hatun Kamay Pirwapaq hina takukuywanmi kaypas chaskisqa kanan, manaraq suyu umalliq sunt’inchananpi	Cuando el tratado afecte disposiciones constitucionales debe ser aprobado por el mismo procedimiento que rige la reforma de la Constitución, antes de ser ratificado por el Presidente de la República
Chay denuncia nisqa rimanakuykuna chaskiyqa Suyu Umalliq ruwayninpin kashian, ichaqa Hatun Rimana Wasitaqmi ruwayninkuman hina chaytapas sut’inchananmi, hinaspataqmi chay denuncia nisqaqa kay Hatun Wasi Rimanakuqpuni sunt’inchanan	La denuncia de los tratados es potestad del Presidente de la República, con cargo de dar cuenta al Congreso, en el caso de los tratados sujetos a aprobación del Congreso, la denuncia requiere aprobación previa de éste
3 HATUN T’AQA	TITULO 3
SUYUQ QOLQE KAYNINMANTA	DEL RÉGIMEN ECONÓMICO
Llapanpaq qallariykumanta	Principios generales
Qhatupi Economía Social nisqa	Economía Social de Mercado
Hoq sapanchasqa llak’ay kamay qallariyqa munayninmantan muchun ruwaqkunaqa qhatu ayllu musiyp	La iniciativa privada es libre, se ejerce en una economía social de mercad
Suyuqa yanapakunmi ima kanapaqpas t’ufsisqa, llaqtaq allinkayninwan tupananpaq, askhantapunin rikun llak’ay kanapaq, runaq qhali kayninpaq, yachachiy yachay kananpaq, kallpapi kausaypaq, llaqta kamachisqan imaymanna llut’aykuna kananpaq	Bajo este régimen, el Estado orienta el desarrollo del país, y actúa principalmente en las áreas de promoción de empleo, salud, educación, seguridad, servicios públicos e infraestructura
Suyu imayna qolqe kayniyoq kananmanta	Rol Económico del Estado
Suyu yanapan llaqtapi llank’aqninkuna lliu qhapaq kayninta maskhananpaq hinaspa rantinkan qespiypi llank’akuqpaq, ayllu qhatu wasikuna llank’ananpaq utaq qhatupaq kaykuna ruwaywanpas	El Estado estimula la creación de riqueza y garantiza la libertad de trabajo y la libertad de empresa, comercio e industria
Ichaqa kay llank’aykunaqa kausayta, qhali kayta nitaq runa kausaynin ukhu waqaychasqata sarunchaspa	El ejercicio de estas libertades no debe ser lesivo a la moral, ni a la salud, ni a la seguridad públicas
Suyu rantinkan llapa runaq kasqan ima kaykunatapas hinaspa ñak’ariqkunata hatarinankupaq yanapaspa, chayrankun huch’uy runa huñuypi imaymana llak’aykunata yanapan	El Estado brinda oportunidades de superación a los sectores que sufren cualquier desigualdad, en tal sentido, promueve las pequeñas empresas en todas sus modalidades
Suyu sayapakunmi llapanpa musikayninman	El Estado reconoce el pluralismo económico
Suyunchispa qhapaq kayninmi teqsichakun llapan llaqta kayniyoq kayninkupi hinaspapas qolqewan ruway llank’aqkunawanpas	La economía nacional se sustenta en la coexistencia de diversas formas de propiedad y de empresa
Ichataqmi qolqewan ruway llank’aqkunallaq munaynillanwanmi suyuqa atin paykunawan atin llank’ayta ruwayninpi, hinaspa kikinpas, hoqta rantinkaspa utaq karullamantapas, ichaqa suyuq allin kausayninta qhawarispallapuni	Sólo autorizado por ley expresa, el Estado puede realizar subsidiariamente actividad empresarial, directa o indirecta, por razón de alto interés público o de manifiesta conveniencia nacional
Suyu llapa llank’aqkunata hinan qolqewan ruway llank’aykunaqapas rikun	La actividad empresarial, pública o no pública, recibe el mismo tratamiento legal
Llapan llank’aykuna ruwaynin	Libre competencia
Suyuqa sayapakun llapan qolqewan ruwaq llank’aqkuna ama auqanakuspa llank’anaman	El Estado facilita y vigila la libre competencia
Suyu qhatikachan ch’ullalla llank’aqta, qhatukuna huñuqta	Combate toda práctica que la limite y el abuso de posiciones dominantes o monopólicas
Ichaqa mana chay ruwaykunata atinkuchu suyupas nitaq sapanchasqa runapas	Ninguna ley ni concertación puede autorizar ni establecer monopolios
Prensa nisqa qelqapi willaqkuna, radio nisqa willaqkuna, televisión nisqa qawanakunapi hinaspa wakin runaman willaqkuna, manan atinkuchu sapallankulla llank’ay munayta nitaq pi runapas atinchu payllapaq hap’iyta huñunakuspapas nitaq sapanchasqapas	La prensa, la radio, la televisión y los demás medios de expresión y comunicación social; y, en general, las empresas, los bienes y servicios relacionados con la libertad de expresión y de comunicación, no pueden ser objeto de exclusividad, monopolio ni acaparamiento, directa ni indirectamente, por parte del Estado ni de particulares
Qespisqa llank’aypaq	Libertad de contratar
Qespiypi Rimanakuspa llapan llank’aqkunawan kuskachakuspa llank’ayta ruwayninkun rantinkasqa chaymi ruwaqkunaqa atinku chay ruwayta may kausay kananpaqpas	La libertad de contratar garantiza que las partes pueden pactar válidamente según las normas vigentes al tiempo del contrato
Ichaqa rimasqankuqa manan hoq nerayman t’ijrakunmanchu ima kamachiykuna kamachiypipas	Los términos contractuales no pueden ser modificados por leyes u otras disposiciones de cualquier clase
Sichus ima maqanakuypas kanman cheyqa atinkun paqtay wasimpi utaq hoq qolqewan ruway llank’aqkuna paqtay wasipipas chaykuna qhawachiytaqa, ichaqa kamachiman hinallapuni	Los conflictos derivados de la relación contractual sólo se solucionan en la vía arbitral o en la judicial, según los mecanismos de protección previstos en el contrato o contemplados en la ley
Suyu qelqa rimanakuypi-kamachi atinmi allin kausayninpaq rantinkayta hinaspa allin waqaychaypi hap’iyta, ichaqa kay qelqapi nisqaman hina	Mediante contratos-ley, el Estado puede establecer garantías y otorgar seguridades, no pueden ser modificados legislativamente, sin perjuicio de la protección a que se refiere el párrafo precedente
Kikin suyu hinaspa hawa suyu qolqe churay	Inversión nacional y extranjera
Hawa llaqtaq hinaspa suyupi llank’aq runakuna qolqe churasqanqa hawa llaqtapaq kamachiykuna kamachiman qespisqan kanku	La inversión nacional y la extranjera se sujetan a las mismas condiciones, la producción de bienes y servicios y el comercio exterior son libres
Sichus mayqen hawa suyupi kay kamachiykunata sarunchayta munanman cheyqa suyun atin allin chaninchaykunata ruwayta	Si otro país o países adoptan medidas proteccionistas o discriminatorias que perjudiquen el interés nacional, el Estado puede, en defensa de éste, adoptar medidas análogas
Llapa hawa suyu rimaykunaqa suyuq kamachiyninman hinapunin ruwakun hinaspa suyuq paqtachay wasinkunapin chaytaqa rikukunan	En todo contrato del Estado y de las personas de derecho público con extranjeros domiciliados consta el sometimiento de éstos a las leyes y órganos jurisdiccionales de la República y su renuncia a toda reclamación diplomática
Atillantaqmi qolqewan ruway llank’aq wasinkunapipas atikullantaq kay mana allinkunata qhawachiyta ichaqa kamachiman hina	Pueden ser exceptuados de la jurisdicción nacional los contratos de carácter financiero
Suyu hinaspa llapan runakuna llaqta kamachiypi llank’aq atinkun ima atipanakuyninkuta chayachiyta paqtay wasikunaman ichaqa chay hawa llaqtakunawan rimanakuy qelqa kamachiykunaman hina	El Estado y las demás personas de derecho público pueden someter las controversias derivadas de relación contractual a tribunales constituidos en virtud de tratados en vigor
Ichataqmi atillankutaq atipamnakuyninkuta rikuchiyta chay arbitraje nisqa paqtachaypi kikin suyupi utaq hawa suyukunapipas, kamachiyman hinallapuni	Pueden también someterlas a arbitraje nacional o internacional, en la forma en que lo disponga la ley
Hawa suyukunaq qolqen hinaspa hap’iy	Tenencia y disposición de moneda extranjera
Suyu rantinkan qolqe hap’iy kayninta hinaspa imaynapas hawa suyu qolqe hap’iytapas	El Estado garantiza la libre tenencia y disposición de moneda extranjera
Suyu runa rantisqanta amachay	Protección al consumidor
Suyu amachan runaq tukurparisqanta hinaspa rantisqanpi ruwasqantapas	El Estado defiende el interés de los consumidores y usuarios
Chaypaqmi rantinkan willakuy mast’ariyta kaykunamanta hinaspa ruwaykunamanta qhatupi kasqanta	Para tal efecto garantiza el derecho a la información sobre los bienes y servicios que se encuentran a su disposición en el mercado
Chaymantapas suyu runaq allin qhali sumaq kausayninta qhawan	Asimismo vela, en particular, por la salud y la seguridad de la población
Pachamanta, hinaspa kay pacha qhapaq kayninmant	Del ambiente y los recursos naturales
Pachaqpa kikin kaqninkuna	Recursos Naturales
Kay pacha suyuq kaqninkunaqa, t’aqakun, mosoqchakuypi hinaspa mana mosoqchakuypi, suyuq kayninkunapunin	Los recursos naturales, renovables y no renovables, son patrimonio de la Nación
Suyullapuni munayniyoq horqoyninpipas	El Estado es soberano en su aprovechamiento
Ruwaypaq kamachiyllawanmi sapanchasqa runaqa horqonman utaq qochikunman kayninkunataqa kamachiman hina	Por ley orgánica se fijan las condiciones de su utilización y de su otorgamiento a particulares
Sichus sapanchasqa runa munanman paypaq cheyqa mañakunamani kamachiman hina	La concesión otorga a su titular un derecho real, sujeto a dicha norma legal
Suyu qhawaynin pacha suyuq kaqnin	Política Ambiental
Suyun qhawan kay pacha suyuq kaqninmantaqa	El Estado determina la política nacional del ambiente
Yanapan imayna kay pacha kayninkuna sumaqpi hap’isqa kananpaq	Promueve el uso sostenible de sus recursos naturales
Suyun kamachisqa pacha suyuq kausayninkuna allin qhawasqamanta	Conservación de la diversidad biológica y áreas naturales protegidas
Suyun kamachisqa kanan pacha suyuq kausayninkuna allin qhawasqa kananpaq, t’aqaspa sumaq kayninkunata mana hayk’aq tukukunanpaq	El Estado está obligado a promover la conservación de la diversidad biológica y de las áreas naturales protegidas
Amazonía nisqa wiñaynin	Desarrollo de la Amazonía
Suyun kay pacha Amazonía nisqa suyuq kausayninta yanapan wiñananpaq allin kamachiykunata ruwaspa	El Estado promueve el desarrollo sostenible de la Amazonía con una legislación adecuada
Kaqniyoq kaymanta	De la propiedad
Kaqkunaqa mana tupay atiy	Inviolabilidad del derecho de propiedad
Kaqninchiskunaqa mana tupay kaymi	El derecho de propiedad es inviolable
Suyun rantinkan	El Estado lo garantiza
Hinaspa kamachiy ukhupin ima ruwaypas	Se ejerce en armonía con el bien común y dentro de los límites de ley
Manan pipas qechumanchu hoq runaq kaynintaqa, suyun chaytaqa ruwayta atinman ichaqa kikin suyuq aswan waqaychasqa kananpaq utaq llaqta runakunaq allin kausanallanpaqpuni hinaspa chaytaqa kamachiypuni kamachinan, hinaspa suyuqa qolqetan qonan kaqniwuqman kayninta qechunanpaqqa	A nadie puede privarse de su propiedad sino, exclusivamente, por causa de seguridad nacional o necesidad pública, declarada por ley, y previo pago en efectivo de indemnización justipreciada que incluya compensación por el eventual perjuicio
Paqtachay wasipin kan hoq qelqa churanapaq manapas allinchu sichus suyo mana chaninta munanman pisi qolqellata qoyta cheyqa	Hay acción ante el Poder Judicial para contestar el valor de la propiedad que el Estado haya señalado en el procedimiento expropiatorio
Hawa llaqtamanta Runaqkunaq kaqninmanta	Propiedad de los extranjeros
Kayniyoq rikuypiqa, hoq suyu llaqtakunanamanta, sichus sapanchasqa utaq huñunasqa kay suyupi kausaqkunaqa kikin Perú suyuq runa hina allaukayoq, ichaqa maman imaynapipas hoq neray rikusqa kanankumanchu	En cuanto a la propiedad, los extranjeros, sean personas naturales o jurídicas, están en la misma condición que los peruanos, sin que, en caso alguno, puedan invocar excepción ni protección diplomática
Ichaqa pisqa chunka kilómetros nisqa ukhupi, hoq suyu runakunaqa manan antapanpakunayoq, chajra allpakunayoq, sach’a sach’akunayoq, unukunakunayoq, combustible utaq fuentes de energía nisqakunayoq kanmanchu pay kikinpaq utaq hoq runakunapaqpas, sapallan kaspapas utaq huñunasqapas, chhaynapiqa chinkanmi suyupi ima allaukanpas chhayna kayniyoq kayqa	Sin embargo, dentro de cincuenta kilómetros de las fronteras, los extranjeros no pueden adquirir ni poseer por título alguno, minas, tierras, bosques, aguas, combustibles ni fuentes de energía, directa ni indirectamente, individualmente ni en sociedad, bajo pena de perder, en beneficio del Estado, el derecho así adquirido
Ichaqa suyuqa llaqtaq allinninpaq kaqtinqa atinmanmi ima kaqninchisninchis qechuytapas	Se exceptúa el caso de necesidad pública expresamente declarada por decreto supremo aprobado por el Consejo de Ministros conforme a ley
Suyu allin waqaychasqa kananpaq hark’aykunamanta	Restricciones por seguridad nacional
Kamachillawanpuni atikunman suyu allin waqaychasqa kananpaq, hark’akuyta qhatuykuna, allpa hap’iykunata, llank’aykunata hoq kaqkunapi	La ley puede, sólo por razón de seguridad nacional, establecer temporalmente restricciones y prohibiciones específicas para la adquisición, posesión, explotación y transferencia de determinados bienes
Llapan runa allin kausayninpaq kaqkuna	Bienes de dominio y uso público
